event_date,location,owner,impressions,clicks,new bookings,total_revenue
06/02/2024,Feline Fine - North Sydney,Feline Fine,118,53,5,400
07/02/2024,Feline Fine - North Sydney,Feline Fine,113,51,5,400
08/02/2024,Feline Fine - North Sydney,Feline Fine,154,69,7,400
09/02/2024,Feline Fine - North Sydney,Feline Fine,187,84,8,650
10/02/2024,Feline Fine - North Sydney,Feline Fine,183,82,8,650
11/02/2024,Feline Fine - North Sydney,Feline Fine,141,63,6,350
13/02/2024,Feline Fine - North Sydney,Feline Fine,168,76,8,500
17/02/2024,Feline Fine - North Sydney,Feline Fine,143,64,6,2350
18/02/2024,Feline Fine - North Sydney,Feline Fine,112,50,5,1700
19/02/2024,Feline Fine - North Sydney,Feline Fine,121,54,5,125
20/02/2024,Feline Fine - North Sydney,Feline Fine,133,60,6,675
21/02/2024,Feline Fine - North Sydney,Feline Fine,191,86,9,330
22/02/2024,Feline Fine - North Sydney,Feline Fine,194,87,9,350
23/02/2024,Feline Fine - North Sydney,Feline Fine,127,57,6,18330
24/02/2024,Feline Fine - North Sydney,Feline Fine,112,50,5,11136.67
26/02/2024,Feline Fine - North Sydney,Feline Fine,128,58,6,250
27/02/2024,Feline Fine - North Sydney,Feline Fine,109,49,5,750
28/02/2024,Feline Fine - North Sydney,Feline Fine,162,73,7,1300
29/02/2024,Feline Fine - North Sydney,Feline Fine,143,64,6,1650
01/03/2024,Feline Fine - North Sydney,Feline Fine,134,60,6,385
02/03/2024,Feline Fine - North Sydney,Feline Fine,187,84,8,400
03/03/2024,Feline Fine - North Sydney,Feline Fine,195,88,9,735
04/03/2024,Feline Fine - North Sydney,Feline Fine,112,50,5,400
05/03/2024,Feline Fine - North Sydney,Feline Fine,129,58,6,400
06/03/2024,Feline Fine - North Sydney,Feline Fine,176,79,8,400
07/03/2024,Feline Fine - North Sydney,Feline Fine,194,87,9,400
08/03/2024,Feline Fine - North Sydney,Feline Fine,161,72,7,650
09/03/2024,Feline Fine - North Sydney,Feline Fine,153,69,7,700
10/03/2024,Feline Fine - North Sydney,Feline Fine,175,79,8,688.33
11/03/2024,Feline Fine - North Sydney,Feline Fine,155,70,7,400
13/03/2024,Feline Fine - North Sydney,Feline Fine,189,85,9,1100
14/03/2024,Feline Fine - North Sydney,Feline Fine,174,78,8,500
18/03/2024,Feline Fine - North Sydney,Feline Fine,132,59,6,2350
19/03/2024,Feline Fine - North Sydney,Feline Fine,175,79,8,1700
20/03/2024,Feline Fine - North Sydney,Feline Fine,190,86,9,125
21/03/2024,Feline Fine - North Sydney,Feline Fine,160,72,7,675
22/03/2024,Feline Fine - North Sydney,Feline Fine,165,74,7,330
23/03/2024,Feline Fine - North Sydney,Feline Fine,127,57,6,350
24/03/2024,Feline Fine - North Sydney,Feline Fine,191,86,9,17896.67
25/03/2024,Feline Fine - North Sydney,Feline Fine,155,70,7,10910
27/03/2024,Feline Fine - North Sydney,Feline Fine,167,75,8,250
28/03/2024,Feline Fine - North Sydney,Feline Fine,113,51,5,750
29/03/2024,Feline Fine - North Sydney,Feline Fine,178,80,8,1800
30/03/2024,Feline Fine - North Sydney,Feline Fine,133,60,6,1650
31/03/2024,Feline Fine - North Sydney,Feline Fine,159,72,7,750
01/04/2024,Feline Fine - North Sydney,Feline Fine,107,48,5,400
02/04/2024,Feline Fine - North Sydney,Feline Fine,176,79,8,400
03/04/2024,Feline Fine - North Sydney,Feline Fine,100,45,5,400
04/04/2024,Feline Fine - North Sydney,Feline Fine,142,64,6,400
05/04/2024,Feline Fine - North Sydney,Feline Fine,140,63,6,400
06/04/2024,Feline Fine - North Sydney,Feline Fine,170,77,8,650
07/04/2024,Feline Fine - North Sydney,Feline Fine,156,70,7,650
08/04/2024,Feline Fine - North Sydney,Feline Fine,182,82,8,700
09/04/2024,Feline Fine - North Sydney,Feline Fine,189,85,9,400
10/04/2024,Feline Fine - North Sydney,Feline Fine,176,79,8,400
13/04/2024,Feline Fine - North Sydney,Feline Fine,113,51,5,500
17/04/2024,Feline Fine - North Sydney,Feline Fine,111,50,5,2350
18/04/2024,Feline Fine - North Sydney,Feline Fine,136,61,6,1700
19/04/2024,Feline Fine - North Sydney,Feline Fine,125,56,6,125
20/04/2024,Feline Fine - North Sydney,Feline Fine,160,72,7,675
21/04/2024,Feline Fine - North Sydney,Feline Fine,123,55,6,330
22/04/2024,Feline Fine - North Sydney,Feline Fine,192,86,9,350
23/04/2024,Feline Fine - North Sydney,Feline Fine,183,82,8,17830
24/04/2024,Feline Fine - North Sydney,Feline Fine,136,61,6,10910
26/04/2024,Feline Fine - North Sydney,Feline Fine,154,69,7,250
27/04/2024,Feline Fine - North Sydney,Feline Fine,163,73,7,750
28/04/2024,Feline Fine - North Sydney,Feline Fine,107,48,5,1800
29/04/2024,Feline Fine - North Sydney,Feline Fine,191,86,9,1650
30/04/2024,Feline Fine - North Sydney,Feline Fine,198,89,9,750
01/05/2024,Feline Fine - North Sydney,Feline Fine,200,90,9,400
02/05/2024,Feline Fine - North Sydney,Feline Fine,149,67,7,650
03/05/2024,Feline Fine - North Sydney,Feline Fine,143,64,6,400
04/05/2024,Feline Fine - North Sydney,Feline Fine,109,49,5,650
05/05/2024,Feline Fine - North Sydney,Feline Fine,142,64,6,650
06/05/2024,Feline Fine - North Sydney,Feline Fine,160,72,7,1100
07/05/2024,Feline Fine - North Sydney,Feline Fine,155,70,7,1086.67
09/05/2024,Feline Fine - North Sydney,Feline Fine,129,58,6,720
10/05/2024,Feline Fine - North Sydney,Feline Fine,129,58,6,720
13/05/2024,Feline Fine - North Sydney,Feline Fine,147,66,7,500
17/05/2024,Feline Fine - North Sydney,Feline Fine,164,74,7,2350
18/05/2024,Feline Fine - North Sydney,Feline Fine,183,82,8,1700
19/05/2024,Feline Fine - North Sydney,Feline Fine,177,80,8,125
20/05/2024,Feline Fine - North Sydney,Feline Fine,104,47,5,675
21/05/2024,Feline Fine - North Sydney,Feline Fine,120,54,5,330
22/05/2024,Feline Fine - North Sydney,Feline Fine,191,86,9,350
23/05/2024,Feline Fine - North Sydney,Feline Fine,135,61,6,17830
24/05/2024,Feline Fine - North Sydney,Feline Fine,158,71,7,10910
26/05/2024,Feline Fine - North Sydney,Feline Fine,192,86,9,250
27/05/2024,Feline Fine - North Sydney,Feline Fine,115,52,5,750
28/05/2024,Feline Fine - North Sydney,Feline Fine,149,67,7,1800
29/05/2024,Feline Fine - North Sydney,Feline Fine,114,51,5,1650
30/05/2024,Feline Fine - North Sydney,Feline Fine,141,63,6,750
31/05/2024,Feline Fine - North Sydney,Feline Fine,116,52,5,0
01/06/2024,Feline Fine - North Sydney,Feline Fine,154,69,7,650
02/06/2024,Feline Fine - North Sydney,Feline Fine,159,72,7,700
03/06/2024,Feline Fine - North Sydney,Feline Fine,125,56,6,650
04/06/2024,Feline Fine - North Sydney,Feline Fine,111,50,5,700
05/06/2024,Feline Fine - North Sydney,Feline Fine,139,63,6,1100
06/06/2024,Feline Fine - North Sydney,Feline Fine,139,63,6,373.33
08/06/2024,Feline Fine - North Sydney,Feline Fine,161,72,7,720
16/06/2024,Feline Fine - North Sydney,Feline Fine,131,59,6,600
17/06/2024,Feline Fine - North Sydney,Feline Fine,171,77,8,2100
18/06/2024,Feline Fine - North Sydney,Feline Fine,191,86,9,125
19/06/2024,Feline Fine - North Sydney,Feline Fine,118,53,5,325
20/06/2024,Feline Fine - North Sydney,Feline Fine,128,58,6,330
21/06/2024,Feline Fine - North Sydney,Feline Fine,113,51,5,350
22/06/2024,Feline Fine - North Sydney,Feline Fine,156,70,7,17830
23/06/2024,Feline Fine - North Sydney,Feline Fine,171,77,8,10910
25/06/2024,Feline Fine - North Sydney,Feline Fine,130,59,6,250
26/06/2024,Feline Fine - North Sydney,Feline Fine,175,79,8,350
27/06/2024,Feline Fine - North Sydney,Feline Fine,155,70,7,1400
28/06/2024,Feline Fine - North Sydney,Feline Fine,161,72,7,1650
29/06/2024,Feline Fine - North Sydney,Feline Fine,160,72,7,750
01/07/2024,Feline Fine - North Sydney,Feline Fine,180,81,8,700
02/07/2024,Feline Fine - North Sydney,Feline Fine,143,64,6,400
03/07/2024,Feline Fine - North Sydney,Feline Fine,131,59,6,700
04/07/2024,Feline Fine - North Sydney,Feline Fine,164,74,7,400
05/07/2024,Feline Fine - North Sydney,Feline Fine,124,56,6,400
06/07/2024,Feline Fine - North Sydney,Feline Fine,140,63,6,720
07/07/2024,Feline Fine - North Sydney,Feline Fine,119,54,5,720
16/07/2024,Feline Fine - North Sydney,Feline Fine,193,87,9,600
17/07/2024,Feline Fine - North Sydney,Feline Fine,150,68,7,1650
18/07/2024,Feline Fine - North Sydney,Feline Fine,177,80,8,125
19/07/2024,Feline Fine - North Sydney,Feline Fine,193,87,9,325
20/07/2024,Feline Fine - North Sydney,Feline Fine,191,86,9,330
21/07/2024,Feline Fine - North Sydney,Feline Fine,173,78,8,350
22/07/2024,Feline Fine - North Sydney,Feline Fine,137,62,6,17430
23/07/2024,Feline Fine - North Sydney,Feline Fine,114,51,5,10910
25/07/2024,Feline Fine - North Sydney,Feline Fine,122,55,6,250
26/07/2024,Feline Fine - North Sydney,Feline Fine,169,76,8,350
27/07/2024,Feline Fine - North Sydney,Feline Fine,163,73,7,1400
28/07/2024,Feline Fine - North Sydney,Feline Fine,130,59,6,1583.33
29/07/2024,Feline Fine - North Sydney,Feline Fine,151,68,7,525
31/07/2024,Feline Fine - North Sydney,Feline Fine,121,54,5,385
01/08/2024,Feline Fine - North Sydney,Feline Fine,128,58,6,400
02/08/2024,Feline Fine - North Sydney,Feline Fine,163,73,7,720
03/08/2024,Feline Fine - North Sydney,Feline Fine,137,62,6,400
04/08/2024,Feline Fine - North Sydney,Feline Fine,109,49,5,720
05/08/2024,Feline Fine - North Sydney,Feline Fine,125,56,6,720
09/08/2024,Feline Fine - North Sydney,Feline Fine,152,68,7,1000
10/08/2024,Feline Fine - North Sydney,Feline Fine,145,65,7,1000
15/08/2024,Feline Fine - North Sydney,Feline Fine,181,81,8,600
16/08/2024,Feline Fine - North Sydney,Feline Fine,161,72,7,1650
17/08/2024,Feline Fine - North Sydney,Feline Fine,117,53,5,125
18/08/2024,Feline Fine - North Sydney,Feline Fine,145,65,7,325
19/08/2024,Feline Fine - North Sydney,Feline Fine,192,86,9,330
20/08/2024,Feline Fine - North Sydney,Feline Fine,139,63,6,350
21/08/2024,Feline Fine - North Sydney,Feline Fine,108,49,5,17430
22/08/2024,Feline Fine - North Sydney,Feline Fine,191,86,9,10910
23/08/2024,Feline Fine - North Sydney,Feline Fine,131,59,6,0
24/08/2024,Feline Fine - North Sydney,Feline Fine,133,60,6,250
25/08/2024,Feline Fine - North Sydney,Feline Fine,194,87,9,350
26/08/2024,Feline Fine - North Sydney,Feline Fine,107,48,5,1400
27/08/2024,Feline Fine - North Sydney,Feline Fine,137,62,6,1150
28/08/2024,Feline Fine - North Sydney,Feline Fine,171,77,8,500
30/08/2024,Feline Fine - North Sydney,Feline Fine,147,66,7,785
31/08/2024,Feline Fine - North Sydney,Feline Fine,141,63,6,400
01/09/2024,Feline Fine - North Sydney,Feline Fine,127,57,6,720
03/09/2024,Feline Fine - North Sydney,Feline Fine,186,84,8,720
08/09/2024,Feline Fine - North Sydney,Feline Fine,183,82,8,1000
09/09/2024,Feline Fine - North Sydney,Feline Fine,108,49,5,1100
10/09/2024,Feline Fine - North Sydney,Feline Fine,193,87,9,1100
14/09/2024,Feline Fine - North Sydney,Feline Fine,118,53,5,600
15/09/2024,Feline Fine - North Sydney,Feline Fine,145,65,7,1650
16/09/2024,Feline Fine - North Sydney,Feline Fine,123,55,6,125
17/09/2024,Feline Fine - North Sydney,Feline Fine,151,68,7,325
18/09/2024,Feline Fine - North Sydney,Feline Fine,167,75,8,330
19/09/2024,Feline Fine - North Sydney,Feline Fine,155,70,7,350
20/09/2024,Feline Fine - North Sydney,Feline Fine,138,62,6,17430
21/09/2024,Feline Fine - North Sydney,Feline Fine,138,62,6,10910
23/09/2024,Feline Fine - North Sydney,Feline Fine,150,68,7,250
24/09/2024,Feline Fine - North Sydney,Feline Fine,100,45,5,350
25/09/2024,Feline Fine - North Sydney,Feline Fine,192,86,9,1400
26/09/2024,Feline Fine - North Sydney,Feline Fine,164,74,7,1150
27/09/2024,Feline Fine - North Sydney,Feline Fine,112,50,5,500
29/09/2024,Feline Fine - North Sydney,Feline Fine,156,70,7,785
30/09/2024,Feline Fine - North Sydney,Feline Fine,174,78,8,400
06/10/2024,Feline Fine - North Sydney,Feline Fine,133,60,6,1000
07/10/2024,Feline Fine - North Sydney,Feline Fine,147,66,7,1000
08/10/2024,Feline Fine - North Sydney,Feline Fine,113,51,5,1100
09/10/2024,Feline Fine - North Sydney,Feline Fine,193,87,9,500
10/10/2024,Feline Fine - North Sydney,Feline Fine,129,58,6,500
14/10/2024,Feline Fine - North Sydney,Feline Fine,147,66,7,600
15/10/2024,Feline Fine - North Sydney,Feline Fine,186,84,8,1650
16/10/2024,Feline Fine - North Sydney,Feline Fine,139,63,6,125
17/10/2024,Feline Fine - North Sydney,Feline Fine,129,58,6,325
18/10/2024,Feline Fine - North Sydney,Feline Fine,199,90,9,330
19/10/2024,Feline Fine - North Sydney,Feline Fine,183,82,8,350
20/10/2024,Feline Fine - North Sydney,Feline Fine,139,63,6,17163.33
21/10/2024,Feline Fine - North Sydney,Feline Fine,190,86,9,10910
23/10/2024,Feline Fine - North Sydney,Feline Fine,125,56,6,250
24/10/2024,Feline Fine - North Sydney,Feline Fine,107,48,5,350
25/10/2024,Feline Fine - North Sydney,Feline Fine,171,77,8,1400
26/10/2024,Feline Fine - North Sydney,Feline Fine,152,68,7,1150
27/10/2024,Feline Fine - North Sydney,Feline Fine,197,89,9,500
29/10/2024,Feline Fine - North Sydney,Feline Fine,192,86,9,385
30/10/2024,Feline Fine - North Sydney,Feline Fine,195,88,9,0
31/10/2024,Feline Fine - North Sydney,Feline Fine,120,54,5,400
02/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,108,49,5,150
04/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,190,86,9,180
05/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,130,59,6,180
06/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,145,65,7,396
07/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,142,64,6,360
09/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,178,80,8,540
10/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,155,70,7,600
11/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,170,77,8,360
13/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,195,88,9,0
14/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,170,77,8,150
16/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,182,82,8,240
17/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,117,53,5,1050
18/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,117,53,5,330
19/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,103,46,5,510
20/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,143,64,6,150
21/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,173,78,8,366
22/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,151,68,7,180
23/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,150,68,7,480
24/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,136,61,6,380
25/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,154,69,7,300
27/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,148,67,7,180
29/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,109,49,5,330
30/01/2024,Paw Precinct - Surfers Paradise,Paw Precinct,171,77,8,1085
01/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,195,88,9,150
02/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,163,73,7,360
03/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,109,49,5,180
04/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,128,58,6,360
05/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,190,86,9,360
08/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,165,74,7,360
10/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,149,67,7,360
11/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,188,85,9,180
13/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,117,53,5,180
15/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,129,58,6,180
16/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,196,88,9,1260
17/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,179,81,8,540
18/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,133,60,6,360
20/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,168,76,8,360
21/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,144,65,7,180
22/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,169,76,8,720
23/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,158,71,7,380
24/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,182,82,8,360
26/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,125,56,6,0
27/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,199,90,9,180
28/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,106,48,5,360
29/02/2024,Paw Precinct - Surfers Paradise,Paw Precinct,193,87,9,1062
02/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,175,79,8,40
03/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,113,51,5,360
06/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,192,86,9,360
07/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,154,69,7,360
09/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,171,77,8,180
10/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,102,46,5,180
11/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,145,65,7,180
14/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,156,70,7,180
16/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,124,56,6,180
17/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,180,81,8,1260
18/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,164,74,7,360
19/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,130,59,6,360
21/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,124,56,6,282
22/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,129,58,6,180
23/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,116,52,5,540
24/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,152,68,7,380
25/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,178,80,8,360
27/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,148,67,7,0
28/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,194,87,9,180
29/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,163,73,7,180
30/03/2024,Paw Precinct - Surfers Paradise,Paw Precinct,164,74,7,1080
01/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,177,80,8,150
02/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,164,74,7,300
04/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,133,60,6,360
05/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,159,72,7,360
07/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,196,88,9,180
08/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,123,55,6,180
09/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,174,78,8,180
10/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,131,59,6,180
13/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,129,58,6,180
14/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,148,67,7,180
15/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,163,73,7,180
16/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,145,65,7,1260
17/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,111,50,5,360
18/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,151,68,7,360
21/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,140,63,6,180
22/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,138,62,6,540
23/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,160,72,7,380
24/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,172,77,8,360
27/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,156,70,7,180
28/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,100,45,5,180
29/04/2024,Paw Precinct - Surfers Paradise,Paw Precinct,108,49,5,900
01/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,104,47,5,300
03/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,144,65,7,180
06/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,107,48,5,180
07/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,128,58,6,180
08/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,198,89,9,180
09/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,187,84,8,360
10/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,191,86,9,360
13/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,112,50,5,360
14/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,122,55,6,150
15/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,189,85,9,360
16/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,164,74,7,1260
17/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,164,74,7,360
18/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,127,57,6,180
19/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,179,81,8,0
21/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,102,46,5,180
22/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,135,61,6,540
23/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,134,60,6,380
24/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,111,50,5,360
27/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,112,50,5,180
28/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,164,74,7,18
29/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,193,87,9,900
31/05/2024,Paw Precinct - Surfers Paradise,Paw Precinct,105,47,5,180
02/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,140,63,6,215
04/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,129,58,6,180
05/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,137,62,6,180
06/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,113,51,5,180
07/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,105,47,5,180
08/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,155,70,7,360
09/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,166,75,8,1440
10/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,167,75,8,1080
13/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,176,79,8,540
14/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,188,85,9,444
15/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,199,90,9,1260
16/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,103,46,5,228
17/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,196,88,9,180
19/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,184,83,8,0
20/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,129,58,6,0
21/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,153,69,7,360
22/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,179,81,8,560
23/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,195,88,9,360
24/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,126,57,6,0
26/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,199,90,9,180
27/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,138,62,6,0
28/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,144,65,7,720
29/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,145,65,7,180
30/06/2024,Paw Precinct - Surfers Paradise,Paw Precinct,152,68,7,180
01/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,117,53,5,330
03/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,186,84,8,180
06/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,134,60,6,720
07/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,126,57,6,540
08/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,136,61,6,1440
10/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,118,53,5,180
13/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,148,67,7,540
14/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,143,64,6,360
15/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,108,49,5,1260
16/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,101,45,5,360
17/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,125,56,6,180
21/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,170,77,8,360
22/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,125,56,6,560
23/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,170,77,8,360
